plaintext	voltage
f02f5c0bfb98f482990ccaaacbaf79a9749329eed0d9c85d9ec084b9a46f1683	2.5141
282e8ca3589a7523392a93e965f23df319ef740472da701531108fa9368f39ab	2.5138
a7bd0405cc24e32e7d8a8c536bb73c73d2791f681258692d5e5c0aabdae86f71	2.512
7d8dd3b8737b6774ee397aa3f1ad5c74e896ed19c224fe1aba23d1f4d8015d0a	2.5122
f9d500d521500e9939d37d0d48f44e6c355ca3bc0cea28337762e67a7df97f18	2.5127
625ae23e3efe0d0299074f514fd35d7593c95b2c59df6e66877a149581c2f26e	2.5138
18dfde428a10af7748c081bae10eb3d01eba24a4af771cea7208d0c603c34589	2.5139
8049c1424c6a003d2fa6ef3474f553a3983ff09e65b1c6e2d755d82b147ed3e5	2.5138
e6459bad1542cbc8901eae7c18336baa7d62f0e656009669308a3ba3d399b2cb	2.5118
4f60d09df9379c671a5e9ba5a742d78e216770d258822ee0617934d3d20fa112	2.5122
c93a61a289bf52cbf924109a28e9e9e704c74db809e66c4b945817d961aef667	2.5128
06a6f725d33e49056fcecf83450a73a5fd76bc2f9508f76946e1b734c9341229	2.5123
